year,gender,age,country,population
2002,Male,27--29,ML,0
2002,Male,27--29,MM,0
2002,Male,27--29,MX,0
2002,Male,27--29,NE,0
2002,Male,27--29,NG,0
2002,Male,27--29,NP,0
2002,Male,27--29,PH,0
2002,Male,27--29,RO,0
2002,Male,27--29,SL,0
2002,Male,27--29,SN,0
2002,Male,27--29,SV,0
2002,Male,27--29,TH,0
2002,Male,27--29,TJ,0
2002,Male,27--29,TM,0
2002,Male,27--29,UA,0
2002,Male,27--29,UG,0
2002,Male,27--29,US,0
2002,Male,27--29,UZ,0
2002,Male,27--29,Unknown,0
2002,Male,27--29,VN,0
2002,Male,27--29,ZZ,0
2002,Male,30--38,AF,0
2002,Male,30--38,AL,0
2002,Male,30--38,BD,0
2002,Male,30--38,BF,0
2002,Male,30--38,BG,0
2002,Male,30--38,BO,0
2002,Male,30--38,BY,0
2002,Male,30--38,CD,0
2002,Male,30--38,CI,0
2002,Male,30--38,CN,0
2002,Male,30--38,CO,0
2002,Male,30--38,ER,0
2002,Male,30--38,GH,0
2002,Male,30--38,GN,0
2002,Male,30--38,GW,0
2002,Male,30--38,HT,0
2002,Male,30--38,ID,0
2002,Male,30--38,IN,0
2002,Male,30--38,KG,0
2002,Male,30--38,KH,0
2002,Male,30--38,KR,0
2002,Male,30--38,KZ,0
2002,Male,30--38,LA,0
2002,Male,30--38,LK,0
2002,Male,30--38,MD,0
2002,Male,30--38,MG,0
2002,Male,30--38,ML,0
2002,Male,30--38,MM,0
2002,Male,30--38,MX,0
2002,Male,30--38,NE,0
2002,Male,30--38,NG,0
2002,Male,30--38,NP,0
2002,Male,30--38,PH,0
2002,Male,30--38,RO,0
2002,Male,30--38,SL,0
2002,Male,30--38,SN,0
2002,Male,30--38,SV,0
2002,Male,30--38,TH,0
2002,Male,30--38,TJ,0
2002,Male,30--38,TM,0
2002,Male,30--38,UA,0
2002,Male,30--38,UG,0
2002,Male,30--38,US,0
2002,Male,30--38,UZ,0
2002,Male,30--38,Unknown,0
2002,Male,30--38,VN,0
2002,Male,30--38,ZZ,0
2002,Male,39--47,AF,0
2002,Male,39--47,AL,0
2002,Male,39--47,BD,0
2002,Male,39--47,BF,0
2002,Male,39--47,BG,0
2002,Male,39--47,BO,0
2002,Male,39--47,BY,0
2002,Male,39--47,CD,0
2002,Male,39--47,CI,0
2002,Male,39--47,CN,0
2002,Male,39--47,CO,0
2002,Male,39--47,ER,0
2002,Male,39--47,GH,0
2002,Male,39--47,GN,0
2002,Male,39--47,GW,0
2002,Male,39--47,HT,0
2002,Male,39--47,ID,0
2002,Male,39--47,IN,0
2002,Male,39--47,KG,0
2002,Male,39--47,KH,0
2002,Male,39--47,KR,0
2002,Male,39--47,KZ,0
2002,Male,39--47,LA,0
2002,Male,39--47,LK,0
2002,Male,39--47,MD,0
2002,Male,39--47,MG,0
2002,Male,39--47,ML,0
2002,Male,39--47,MM,0
2002,Male,39--47,MX,0
2002,Male,39--47,NE,0
2002,Male,39--47,NG,0
2002,Male,39--47,NP,0
2002,Male,39--47,PH,0
2002,Male,39--47,RO,0
2002,Male,39--47,SL,0
2002,Male,39--47,SN,0
2002,Male,39--47,SV,0
2002,Male,39--47,TH,0
2002,Male,39--47,TJ,0
2002,Male,39--47,TM,0
2002,Male,39--47,UA,0
2002,Male,39--47,UG,0
2002,Male,39--47,US,0
2002,Male,39--47,UZ,0
2002,Male,39--47,Unknown,0
2002,Male,39--47,VN,0
2002,Male,39--47,ZZ,0
2002,Male,48+,AF,0
2002,Male,48+,AL,0
2002,Male,48+,BD,0
2002,Male,48+,BF,0
2002,Male,48+,BG,0
2002,Male,48+,BO,0
2002,Male,48+,BY,0
2002,Male,48+,CD,0
2002,Male,48+,CI,0
2002,Male,48+,CN,0
2002,Male,48+,CO,0
2002,Male,48+,ER,0
2002,Male,48+,GH,0
2002,Male,48+,GN,0
2002,Male,48+,GW,0
2002,Male,48+,HT,0
2002,Male,48+,ID,0
2002,Male,48+,IN,0
2002,Male,48+,KG,0
2002,Male,48+,KH,0
2002,Male,48+,KR,0
2002,Male,48+,KZ,0
2002,Male,48+,LA,0
2002,Male,48+,LK,0
2002,Male,48+,MD,0
2002,Male,48+,MG,0
2002,Male,48+,ML,0
2002,Male,48+,MM,0
2002,Male,48+,MX,0
2002,Male,48+,NE,0
2002,Male,48+,NG,0
2002,Male,48+,NP,0
2002,Male,48+,PH,0
2002,Male,48+,RO,0
2002,Male,48+,SL,0
2002,Male,48+,SN,0
2002,Male,48+,SV,0
2002,Male,48+,TH,0
2002,Male,48+,TJ,0
2002,Male,48+,TM,0
2002,Male,48+,UA,0
2002,Male,48+,UG,0
2002,Male,48+,US,0
2002,Male,48+,UZ,0
2002,Male,48+,Unknown,0
2002,Male,48+,VN,0
2002,Male,48+,ZZ,0
2002,Male,9--17,AF,0
2002,Male,9--17,AL,0
2002,Male,9--17,BD,0
2002,Male,9--17,BF,0
2002,Male,9--17,BG,0
2002,Male,9--17,BO,0
2002,Male,9--17,BY,0
2002,Male,9--17,CD,0
2002,Male,9--17,CI,0
2002,Male,9--17,CN,0
2002,Male,9--17,CO,0
2002,Male,9--17,ER,0
2002,Male,9--17,GH,0
2002,Male,9--17,GN,0
2002,Male,9--17,GW,0
2002,Male,9--17,HT,0
2002,Male,9--17,ID,0
2002,Male,9--17,IN,0
2002,Male,9--17,KG,0
2002,Male,9--17,KH,0
2002,Male,9--17,KR,0
2002,Male,9--17,KZ,0
2002,Male,9--17,LA,0
2002,Male,9--17,LK,0
2002,Male,9--17,MD,0
2002,Male,9--17,MG,0
2002,Male,9--17,ML,0
2002,Male,9--17,MM,0
2002,Male,9--17,MX,0
2002,Male,9--17,NE,0
2002,Male,9--17,NG,0
2002,Male,9--17,NP,0
2002,Male,9--17,PH,0
2002,Male,9--17,RO,0
2002,Male,9--17,SL,0
2002,Male,9--17,SN,0
2002,Male,9--17,SV,0
2002,Male,9--17,TH,0
2002,Male,9--17,TJ,0
2002,Male,9--17,TM,0
2002,Male,9--17,UA,0
2002,Male,9--17,UG,0
2002,Male,9--17,US,0
2002,Male,9--17,UZ,0
2002,Male,9--17,Unknown,0
2002,Male,9--17,VN,0
2002,Male,9--17,ZZ,0
2002,Male,Unknown,AF,0
2002,Male,Unknown,AL,0
2002,Male,Unknown,BD,0
2002,Male,Unknown,BF,0
2002,Male,Unknown,BG,0
2002,Male,Unknown,BO,0
2002,Male,Unknown,BY,0
2002,Male,Unknown,CD,0
2002,Male,Unknown,CI,0
2002,Male,Unknown,CN,0
2002,Male,Unknown,CO,0
2002,Male,Unknown,ER,0
